NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3	4	5	6
1					Tis						Tis	I'll	So			
2					the						the	not				
3					last						last	leave	soon			
4					rose						rose	thee	may			
5																
6					of						of	thou	I			
7																
8					sum-						sum-	lone	fol-			
9					mer						mer	one	low			
10					Left						Left	To	When			
11																
12					bloom-						bloom-	pine	friend-			
13																
14					ing						ing	on	ships			
15																
16					a-						a-	the	de-
17													
18					lone;						lone;	stem;	cay
19					All						All	Since	And
20					her						her	the	from
21					love-						love-	love-	love's
22					ly						ly	ly	shin-
23													
24					com-						com-	are	ing
25													
26					pan-						pan-	sleep-	cir-
27					iones						iones	ing	cle
28					Are						Are	Go	The
29													
30					fade-						fade-	sleep	gems
31													
32													
33													
34					ed						ed	thou	drop
35					and						and	with	a-
36					gone.						gone.	them	way!
37													
38					No						No	Thus	When
39													
40					flow-						flow-	kind-	true 
41					er						er	ly	
42					of						of	I	hearts
43					her						her		lie
44					kin-						kin-	scat-	wither-
45					dred						dred	ter	ed
46					No						No	Thy	And
47													
48					rose						rose	leaves	fond
49													
50					bud						bud	o'er	ones
51					is						is	the	are
52					nigh						nigh	bed	flown
53													
54													
55													
56													
57													
58													
59					To						To	Where	Oh!
60					re-						re-	thy	
61					flect						flect	mates	who
62					back						back	of	would
63													
64													
65					her						her	the	in-
66													
67					blush-						blush-	gard-	hab-
68					es						es	en	it
69					Or						Or	Lie	This
70													
71					give						give	scent-	bleak
72													
73													
74													
75					sigh						sigh	less	world
76					for						for	and	a-
77					sigh.						sigh.	dead.	lone.
78					I'll					2			Oh!
79					not								
80					leave								who
81					thee								would
82													
83					thou								in-
84													
85					lone								hab-
86					one								it
87					To								This
88													
89					pine								bleak
90													
91					on								
92													world
93					the								a-
94													lone?
95					stem;								
96					Since
97					the
98					love-
99					ly
100					
101					are
102					
103					sleep-
104					ing
105					Go
106					
107					sleep
108					
109					
110					
111					thou
112					with
113					them
114					
115					Thus
116					
117					kind-
118					ly
119					I
120					
121					scat-
122					ter
123					Thy
124					
125					leaves
126					
127					o'er
128					the
129					bed
130					
131					
132					
133					
134					
135					
136					Where
137					thy
138					mates
139					of
140					
141					
142					the
143					
144					gard-					
145					en					
146					Lie					
147										
148					scent-					
149										
150										
151										
152					less					
153					and					
154					dead.					
155					So					3
156										
157					soon					
158					may					
159										
160					I
161					
162					fol-
163					low
164					When
165					
166					friend-
167					
168					ships
169					
170					de-
171					
172					cay
173					And
174					from
175					love's
176					shin-
177					
178					ing
179					
180					cir-
181					cle
182					The
183					
184					gems
185					
186					
187					
188					drop
189					a-
190					way!
191					
192					When
193					
194					true 
195					
196					hearts
197					lie
198					wither-
199					ed
200					And
201					
202					fond
203					
204					ones
205					are
206					flown
207					
208					
209					
210					
211					
212					
213					Oh!
214					
215					who
216					would
217					
218					
219					in-
220					
221					hab-
222					it
223					This
224					
225					bleak
226					
227					
228					
229					world
230					a-
231					lone.
232					Oh!
233					
234					who
235					would
236					
237					in-
238					
239					hab-
240					it
241					This
242					
243					bleak
244					
245					
246					world
247					a-
248					lone?
249					
250					
251					
252					
253					
254					
255					
256
257
258
259
260
261
262
263
264
265
266
267
268
269
270
271
272
273
274
275
276
277
278
279
280
281
282
283
284
285
286
287
288
289
290
291
292
293
294
295
296
297
298
299
300
301
302
303
304
305
306
307
308
309
310
311
312
313
314
315
316
317
318
319
320
321
322
323
324
325
326
327
328
329
330
331
332
333
334
335
336
337
338
339
340
341
342
343
344
345
346
347
348
349
350
351
352
353
354
355
356
357
358
359
360
361
362
363
364
365
366
367
368
369
370
371
372
373
374
375
376
377
378
379
380
381
382
383
384
385
386
387
388
389
390
391
392
393
394
395
396
397
398
399
400
401
402
403
404
405
406
407
408
409
410
411
412
413
414
415
416
417
418
419
420
421
422
423
424
425
426
427
428
429
430
431
432
433
434
435
436
437
438
439
440
441
442
443
444
445
446
447
448
449
450
451
452
453
454
455
456
457
458
459
460
461
462
463
464
465
466
467
468
469
470
471
472
473
474
475
476
477
478
479
480
481
482
483
484
485
486
487
488
489
490
491
492
493
494
495
496
497
498
499
500
501
502
503
504
505
506
507
508
509
510
511
512
513
514
515
516
517
518
519
520
521
522
523
524
525
526
527
528
529
530
531
532
533
534
535
536
537
538
539
540
541
542
543
544
545
546
547
548
549
550
551
552
553
554
555
556
557
558
559
560
561
562
563
564
565
566
567
568
569
570
571
572
573
574
575
576
577
578
579
580
581
582
583
584
585
586
587
588
589
590
591
592
593
594
595
596
597
598
599
600
601
602
603
604
605
606
607
608
609
610
611
612
613
614
615
616
617
618
619
620
621
622
623
624
625
626
627
628
629
630
631
632
633
634
635
636
637
638
639
640
641
642
643
644
645
646
647
648
649
650
651
652
653
654
655
